# Data taken with Python For the Lab (MC version)
# Scan folder: AOFT_freq_to_wavelength_calibration_1 
# First col: Freq in MHz
# Second col: Wavelength nm 
# Third col: Amplitude (intensity from Spectrometer units with 10us int time) 
# Fourth col: Spectral width in nm 
71.82000 789.47135 1919.33300 0.97980
71.83000 789.34857 1864.33300 0.96521
71.84000 789.30150 1914.33300 0.97777
71.85000 789.21410 1977.33300 0.95097
71.86000 789.15439 1924.66700 0.96265
71.87000 789.03480 1920.66700 0.96999
71.88000 788.97917 1947.66700 0.95792
71.89000 788.94539 1904.00000 0.99608
71.90000 788.83688 1857.66700 1.00724
71.91000 788.76679 1919.33300 0.99227
71.92000 788.67222 1909.66700 0.98264
71.93000 788.60493 1845.00000 0.98178
71.94000 788.54171 1912.00000 0.97173
71.95000 788.42396 1904.66700 1.01488
71.96000 788.36793 1937.33300 1.00772
71.97000 788.29827 1924.00000 1.01022
71.98000 788.19224 1892.66700 1.05909
71.99000 788.07597 1920.00000 1.03656
72.00000 787.96853 1860.00000 1.09713
72.01000 787.84919 1787.66700 1.20586
72.02000 787.71337 1742.66700 1.18339
72.03000 787.56683 1738.66700 1.20134
72.04000 787.46636 1689.33300 1.20912
72.05000 787.25934 1742.66700 1.20118
72.06000 787.12321 1856.66700 1.16550
72.07000 786.95652 1966.33300 1.07412
72.08000 786.84332 2022.33300 1.04655
72.09000 786.77402 2067.66700 1.02706
72.10000 786.68448 2141.33300 0.91850
72.11000 786.62855 2225.66700 0.90235
72.12000 786.57091 2172.00000 0.90309
72.13000 786.50609 2289.33300 0.84165
72.14000 786.44494 2339.66700 0.83947
72.15000 786.38416 2407.66700 0.82905
72.16000 786.33845 2315.33300 0.86498
72.17000 786.30140 2304.00000 0.87941
72.18000 786.23639 2288.00000 0.87007
72.19000 786.17016 2282.00000 0.88668
72.20000 786.12697 2212.33300 0.90633
72.21000 786.02626 2205.00000 0.95500
72.22000 785.95734 2116.00000 0.97811
72.23000 785.86097 2097.66700 1.02109
72.24000 785.76367 2015.00000 1.07408
72.25000 785.69632 2033.33300 1.07869
72.26000 785.52176 1883.33300 1.16768
72.27000 785.44948 1856.00000 1.14612
72.28000 785.27228 1765.33300 1.18136
72.29000 785.13530 1810.66700 1.21014
72.30000 785.00454 1836.66700 1.20479
72.31000 784.88743 1916.33300 1.16687
72.32000 784.77431 1929.00000 1.16171
72.33000 784.59392 2018.00000 1.09109
72.34000 784.47314 1982.00000 1.12528
72.35000 784.38339 2049.33300 1.08126
72.36000 784.30394 2061.00000 1.03867
72.37000 784.22939 2152.00000 1.02692
72.38000 784.12296 2201.66700 0.97907
72.39000 784.02575 2197.00000 0.99847
72.40000 783.96787 2158.00000 1.02130
72.41000 783.87292 2147.33300 0.99192
72.42000 783.79326 2193.00000 1.00325
72.43000 783.72944 2239.66700 0.99572
72.44000 783.63160 2176.66700 1.01592
72.45000 783.54369 2187.33300 1.01101
72.46000 783.46407 2138.66700 1.05828
72.47000 783.35541 2153.00000 1.03919
72.48000 783.31477 2139.00000 1.03526
72.49000 783.17593 2134.33300 1.06904
72.50000 783.06356 2203.66700 1.06108
72.51000 783.01285 2213.66700 1.04986
72.52000 782.93215 2236.00000 1.06133
72.53000 782.79278 2267.00000 1.05608
72.54000 782.73241 2183.66700 1.11514
72.55000 782.61520 2236.33300 1.08513
72.56000 782.50364 2142.00000 1.11968
72.57000 782.39943 2156.66700 1.12229
72.58000 782.30601 2178.00000 1.15491
72.59000 782.18169 2130.33300 1.13638
72.60000 782.09116 2116.33300 1.13350
72.61000 781.95770 2219.33300 1.11340
72.62000 781.85926 2236.33300 1.12149
72.63000 781.71916 2247.33300 1.09492
72.64000 781.60923 2361.00000 1.08664
72.65000 781.52494 2493.33300 1.04770
72.66000 781.41001 2556.00000 1.02615
72.67000 781.31918 2609.33300 1.00266
72.68000 781.25672 2600.00000 1.04243
72.69000 781.15540 2631.33300 1.04433
72.70000 781.04249 2678.66700 1.02635
72.71000 780.92035 2662.00000 1.01832
72.72000 780.85971 2631.66700 1.01520
72.73000 780.74530 2628.66700 1.01327
72.74000 780.65508 2689.66700 0.99589
72.75000 780.56745 2726.00000 1.00466
72.76000 780.47811 2782.66700 0.98741
72.77000 780.38705 2908.00000 0.96544
72.78000 780.31876 2943.33300 0.96279
72.79000 780.23141 3065.66700 0.93980
72.80000 780.12313 3153.33300 0.92025
72.81000 780.04097 3273.66700 0.92017
72.82000 779.96831 3334.33300 0.89545
72.83000 779.92293 3273.33300 0.90255
72.84000 779.86431 3199.00000 0.91893
72.85000 779.78138 3267.33300 0.90680
72.86000 779.72640 3343.00000 0.88085
72.87000 779.64609 3346.33300 0.90878
72.88000 779.57844 3320.66700 0.92423
72.89000 779.50936 3285.00000 0.95068
72.90000 779.43355 3200.66700 0.99461
72.91000 779.28792 3151.00000 1.00304
72.92000 779.22197 3055.33300 1.02992
72.93000 779.08828 2970.66700 1.05293
72.94000 779.00495 2862.33300 1.07100
72.95000 778.89939 2886.66700 1.06537
72.96000 778.77130 2977.66700 1.08331
72.97000 778.67846 2966.33300 1.07841
72.98000 778.58820 3011.33300 1.07372
72.99000 778.47877 3070.00000 1.08311
73.00000 778.39259 3124.66700 1.03622
73.01000 778.28539 3233.66700 1.00638
73.02000 778.21072 3278.33300 1.00209
73.03000 778.11614 3372.00000 0.97799
73.04000 778.04742 3352.00000 0.97529
73.05000 777.97584 3366.00000 0.96665
73.06000 777.87389 3322.00000 0.98436
73.07000 777.80502 3309.00000 0.96992
73.08000 777.73910 3335.33300 0.97848
73.09000 777.66941 3276.66700 0.99435
73.10000 777.59074 3185.33300 1.01695
73.11000 777.47886 3238.00000 1.01851
73.12000 777.41023 3200.33300 1.02630
73.13000 777.31598 3180.00000 1.03539
73.14000 777.18836 3126.33300 1.06389
73.15000 777.08871 3034.66700 1.07657
73.16000 777.00436 3003.33300 1.09217
73.17000 776.87905 3011.33300 1.07544
73.18000 776.78024 3043.66700 1.08145
73.19000 776.69544 3105.33300 1.08529
73.20000 776.56814 3076.66700 1.07205
73.21000 776.43841 3201.66700 1.04916
73.22000 776.37673 3187.00000 1.04252
73.23000 776.26301 3347.66700 0.99549
73.24000 776.18493 3331.00000 0.99024
73.25000 776.10415 3346.33300 0.98108
73.26000 776.02189 3351.33300 0.97704
73.27000 775.92571 3371.00000 0.98773
73.28000 775.85305 3372.00000 0.96331
73.29000 775.76325 3278.33300 0.99258
73.30000 775.70469 3298.33300 0.98906
73.31000 775.61923 3300.00000 0.99324
73.32000 775.53126 3215.33300 1.02516
73.33000 775.44401 3140.66700 1.04018
73.34000 775.37953 3147.66700 1.05492
73.35000 775.25471 3086.66700 1.08591
73.36000 775.14068 3015.33300 1.08634
73.37000 775.01525 2989.66700 1.10086
73.38000 774.89050 2969.00000 1.13660
73.39000 774.82270 3006.66700 1.11682
73.40000 774.66769 3028.66700 1.10192
73.41000 774.57623 3079.33300 1.09729
73.42000 774.47435 3070.66700 1.09236
73.43000 774.33416 3184.00000 1.06925
73.44000 774.24199 3218.66700 1.05570
73.45000 774.15681 3200.66700 1.04893
73.46000 774.06369 3294.66700 1.01815
73.47000 773.96632 3323.33300 1.01402
73.48000 773.86472 3520.00000 0.99579
73.49000 773.78882 3406.66700 1.01147
73.50000 773.72425 3421.00000 0.99690
73.51000 773.61463 3605.00000 0.97275
73.52000 773.54690 3538.66700 1.01211
73.53000 773.48317 3594.66700 0.99559
73.54000 773.37464 3558.33300 0.98935
73.55000 773.29194 3591.33300 0.99922
73.56000 773.18595 3505.33300 1.05207
73.57000 773.10476 3525.66700 1.04203
73.58000 773.01874 3627.33300 1.03538
73.59000 772.89378 3563.33300 1.05520
73.60000 772.80394 3548.00000 1.06467
73.61000 772.71295 3571.33300 1.06426
73.62000 772.59358 3574.00000 1.05515
73.63000 772.51858 3715.33300 1.03328
73.64000 772.41076 3737.66700 1.04598
73.65000 772.31552 3906.66700 1.03095
73.66000 772.24170 3983.33300 1.01510
73.67000 772.15524 4013.33300 1.00796
73.68000 772.05464 4072.33300 0.98760
73.69000 771.98453 4174.33300 0.98362
73.70000 771.90526 4203.33300 0.96963
73.71000 771.84853 4303.00000 0.95961
73.72000 771.76154 4261.33300 0.96606
73.73000 771.68941 4345.66700 0.97546
73.74000 771.60324 4290.66700 1.01280
73.75000 771.52687 4235.33300 1.00716
73.76000 771.44647 4272.66700 1.02210
73.77000 771.34975 4314.00000 1.03767
73.78000 771.25750 4189.33300 1.06304
73.79000 771.18718 4198.66700 1.07745
73.80000 771.04647 4092.66700 1.08273
73.81000 770.91892 4055.00000 1.08966
73.82000 770.79790 4119.66700 1.10199
73.83000 770.69002 4110.66700 1.10007
73.84000 770.57817 4238.00000 1.09039
73.85000 770.47948 4362.00000 1.07375
73.86000 770.35213 4514.33300 1.03812
73.87000 770.27347 4644.00000 1.02665
73.88000 770.18778 4756.66700 1.01399
73.89000 770.10475 4815.00000 1.00177
73.90000 770.01188 4827.00000 0.99554
73.91000 769.91672 5030.00000 0.96981
73.92000 769.82839 5076.00000 0.96026
73.93000 769.76036 5136.00000 0.95259
73.94000 769.69633 5184.66700 0.94476
73.95000 769.61748 5137.33300 0.96300
73.96000 769.53973 5176.33300 0.94934
73.97000 769.45737 5241.00000 0.94620
73.98000 769.38111 5307.66700 0.93744
73.99000 769.31811 5324.00000 0.94682
74.00000 769.24685 5289.33300 0.95189
74.01000 769.16455 5281.66700 0.94823
74.02000 769.08228 5248.66700 0.95551
74.03000 769.00074 5203.33300 0.96365
74.04000 768.94754 5278.00000 0.95230
74.05000 768.84726 5296.00000 0.95301
74.06000 768.77076 5317.33300 0.96119
74.07000 768.70216 5286.00000 0.95795
74.08000 768.62176 5136.00000 0.96163
74.09000 768.53882 5150.66700 0.97268
74.10000 768.44609 5100.33300 0.97522
74.11000 768.38129 5112.66700 0.97744
74.12000 768.30552 5107.00000 0.96443
74.13000 768.20199 4947.66700 0.98781
74.14000 768.14625 4853.00000 0.98981
74.15000 768.04081 4785.00000 0.99998
74.16000 767.96687 4661.00000 1.02099
74.17000 767.89019 4636.66700 1.01772
74.18000 767.81236 4567.33300 1.02559
74.19000 767.72642 4530.66700 1.04939
74.20000 767.59449 4446.33300 1.05896
74.21000 767.53212 4506.66700 1.05292
74.22000 767.46140 4409.00000 1.06586
74.23000 767.31632 4323.33300 1.09425
74.24000 767.24151 4321.33300 1.09370
74.25000 767.13940 4255.33300 1.10444
74.26000 767.02922 4103.00000 1.12811
74.27000 766.89051 3955.33300 1.14391
74.28000 766.80850 3907.66700 1.15934
74.29000 766.66859 3963.33300 1.14825
74.30000 766.50902 4017.00000 1.13205
74.31000 766.40273 4101.33300 1.13001
74.32000 766.30091 4159.33300 1.11455
74.33000 766.20223 4196.00000 1.08757
74.34000 766.08449 4210.00000 1.07951
74.35000 765.96965 4328.66700 1.07059
74.36000 765.88853 4432.66700 1.04018
74.37000 765.80191 4416.66700 1.04369
74.38000 765.71290 4518.33300 1.00954
74.39000 765.59971 4506.00000 1.03806
74.40000 765.53313 4503.66700 1.01478
74.41000 765.42806 4607.00000 1.01786
74.42000 765.34087 4685.33300 1.01768
